区域,名称,景点id,类型,级别,热度,地址,特色,经度,纬度,票价,月销量,图片
安徽·宣城·宣州区,安徽宣城龙悦谷高尔夫俱乐部,3585881813,运动健身,无级别,热度 0.0,安徽宣城宣州区狸桥镇白马山庄,动感果岭留给您发挥空间，光滑表面带来挑战,118.878063,31.19046,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1502/ac/ac3eaf5b632385d6.water.jpg_280x200_a1410a07.jpg
澳门·澳门·澳门半岛,澳门凯撒高尔夫球会,708544227,运动健身,无级别,热度 0.0,澳门澳门半岛路氹城凯撒高尔夫球会,2007年9月由哈利士娱乐公司（harrahs）成功收购了，并由东高尔夫国际集团重新设计改造，现已有18洞标准72杆国际,113.569117,22.138501,免费 ,无销量,http://img1.qunarzz.com/sight/p0/201403/10/fb9f7eef0c71c79054836891e7ca5105.jpg_280x200_19c019dd.jpg
北京·北京·宝联体育公园,宝联体育公园游泳场,4151403373,运动健身,无级别,热度 0.0,北京市海淀区北洼西里48号,露天泳池和大排档满足你的想象,116.304454,39.942638,无票价,无销量,http://img1.qunarzz.com/sight/p0/1906/8d/8db1cffbe74d27fca3.img.png_280x200_d8646e39.png
北京·北京·昌平区,白各庄绿洲水乡养生园绿洲冰雪乐园,3459596077,运动健身,无级别,热度 0.0,北京昌平定沙河镇定泗路白各庄绿洲水乡养生园绿州冰雪乐园（“绿洲水乡温泉酒店”向北400米即到）,携全家出游的好去处,116.367443,40.11985,无票价,无销量,http://img1.qunarzz.com/sight/p0/1901/ae/ae8cddb745157ed6a3.img.jpg_280x200_6d2571bf.jpg
北京·北京·昌平区,北泽高尔夫俱乐部,1011156980,运动健身,无级别,热度 0.0,北京昌平区王府街61号院（宏福创业园西侧200米）,享受绿色与阳光，体验高尔夫的无穷魅力,116.373396,40.106363,无票价,无销量,http://img1.qunarzz.com/sight/p0/201309/18/2492ab0fb38a9e3fc8d65eac.jpg_280x200_97aecd2f.jpg
北京·北京·昌平区,奥北阳光健身汇,1015156402,运动健身,无级别,热度 0.0,北京市昌平区北七家宝迪大酒店五层,健身的理想选择,116.420976,40.12312,无票价,无销量,http://img1.qunarzz.com/sight/p0/1604/44/44f042a87a67346290.img.jpg_280x200_6ea6ba4c.jpg
北京·北京·昌平区,名佳游泳馆,3946543801,运动健身,无级别,热度 0.0,北京市昌平区北七家镇名佳花园三区,健身一条龙，游泳好去处,116.425011,40.112455,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1511/d9/d93532f4ea64604e90.water.jpg_280x200_d6290e23.jpg
北京·北京·昌平区,北京回龙观中学体育馆,1802946692,运动健身,无级别,热度 0.0,北京市昌平区回龙观三合庄园西侧回龙观中学校内,北京市昌平区回龙观中学地处北京市回龙观文明居住区，是一所始建于1958年的公立初中学校。学校总占空中积333281平方米,116.325731,40.085776,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1409/18/4eb2d9012a212e59cd146ff956ca8a8f.jpg_280x200_97cc764a.jpg
北京·北京·昌平区,北京红枫湖高尔夫,2679208919,运动健身,无级别,热度 0.0,北京市昌平区沙河镇白各庄村定泗路北侧,原生态环境优美，大面积天然水域得天独厚,116.351663,40.126495,免费 ,无销量,http://img1.qunarzz.com/sight/p0/1409/12/3ec83e36564b22896e409737e96dd184.jpg_280x200_921d13a3.jpg
北京·北京·朝阳区,鸟巢欢乐冰雪季,1707038467,运动健身,无级别,热度 0.0,北京朝阳国家体育场南路1号鸟巢,刮起滑雪的传统与时尚的热潮,116.402581,39.997986,无票价,无销量,http://img1.qunarzz.com/sight/p0/1701/f6/f6159f9ebfb534aca3.img.jpg_280x200_bed88a7e.jpg
